service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
SCOTIA-1930SupP-Weekday-02,1,1,1,1,1,0,0,20170112,20170126
SCOTIA-1900wSuP-Weekend-02,0,0,0,0,0,1,1,20170114,20170114
SCOTIA-1700wSuP-Weekend-02,0,0,0,0,0,1,1,20170122,20170122
JAN17B-JANDA17-Weekday-15,1,1,1,1,1,0,0,20170112,20170421
JAN17B-JANSA17-Saturday-03,0,0,0,0,0,1,0,20170114,20170422
JAN17B-JANSU17-Sunday-02,0,0,0,0,0,0,1,20170115,20170416
JAN17B-ReducWK-Weekday-01,1,1,1,1,1,0,0,20170220,20170417
SHOPPERS-304Shop-Weekday-01,1,1,1,1,1,0,0,20170112,20170420
SHOPPERS-305Shop-Weekday-01,1,1,1,1,1,0,0,20170113,20170421
SHOPPERS-301Shop-Weekday-01,1,1,1,1,1,0,0,20170116,20170417
SHOPPERS-302Shop-Weekday-01,1,1,1,1,1,0,0,20170117,20170418
SHOPPERS-303Shop-Weekday-01,1,1,1,1,1,0,0,20170118,20170419
