service_id,date,exception_type
SCOTIA-1930SupP-Weekday-02,20170113,2
SCOTIA-1930SupP-Weekday-02,20170116,2
SCOTIA-1930SupP-Weekday-02,20170117,2
SCOTIA-1930SupP-Weekday-02,20170118,2
SCOTIA-1930SupP-Weekday-02,20170119,2
SCOTIA-1930SupP-Weekday-02,20170120,2
SCOTIA-1930SupP-Weekday-02,20170123,2
SCOTIA-1930SupP-Weekday-02,20170125,2
JAN17B-JANDA17-Weekday-15,20170220,2
JAN17B-JANDA17-Weekday-15,20170313,2
JAN17B-JANDA17-Weekday-15,20170314,2
JAN17B-JANDA17-Weekday-15,20170315,2
JAN17B-JANDA17-Weekday-15,20170316,2
JAN17B-JANDA17-Weekday-15,20170317,2
JAN17B-JANDA17-Weekday-15,20170414,2
JAN17B-JANDA17-Weekday-15,20170417,2
JAN17B-JANSU17-Sunday-02,20170414,1
JAN17B-ReducWK-Weekday-01,20170221,2
JAN17B-ReducWK-Weekday-01,20170222,2
JAN17B-ReducWK-Weekday-01,20170223,2
JAN17B-ReducWK-Weekday-01,20170224,2
JAN17B-ReducWK-Weekday-01,20170227,2
JAN17B-ReducWK-Weekday-01,20170228,2
JAN17B-ReducWK-Weekday-01,20170301,2
JAN17B-ReducWK-Weekday-01,20170302,2
JAN17B-ReducWK-Weekday-01,20170303,2
JAN17B-ReducWK-Weekday-01,20170306,2
JAN17B-ReducWK-Weekday-01,20170307,2
JAN17B-ReducWK-Weekday-01,20170308,2
JAN17B-ReducWK-Weekday-01,20170309,2
JAN17B-ReducWK-Weekday-01,20170310,2
JAN17B-ReducWK-Weekday-01,20170320,2
JAN17B-ReducWK-Weekday-01,20170321,2
JAN17B-ReducWK-Weekday-01,20170322,2
JAN17B-ReducWK-Weekday-01,20170323,2
JAN17B-ReducWK-Weekday-01,20170324,2
JAN17B-ReducWK-Weekday-01,20170327,2
JAN17B-ReducWK-Weekday-01,20170328,2
JAN17B-ReducWK-Weekday-01,20170329,2
JAN17B-ReducWK-Weekday-01,20170330,2
JAN17B-ReducWK-Weekday-01,20170331,2
JAN17B-ReducWK-Weekday-01,20170403,2
JAN17B-ReducWK-Weekday-01,20170404,2
JAN17B-ReducWK-Weekday-01,20170405,2
JAN17B-ReducWK-Weekday-01,20170406,2
JAN17B-ReducWK-Weekday-01,20170407,2
JAN17B-ReducWK-Weekday-01,20170410,2
JAN17B-ReducWK-Weekday-01,20170411,2
JAN17B-ReducWK-Weekday-01,20170412,2
JAN17B-ReducWK-Weekday-01,20170413,2
JAN17B-ReducWK-Weekday-01,20170414,2
SHOPPERS-304Shop-Weekday-01,20170113,2
SHOPPERS-304Shop-Weekday-01,20170116,2
SHOPPERS-304Shop-Weekday-01,20170117,2
SHOPPERS-304Shop-Weekday-01,20170118,2
SHOPPERS-304Shop-Weekday-01,20170120,2
SHOPPERS-304Shop-Weekday-01,20170123,2
SHOPPERS-304Shop-Weekday-01,20170124,2
SHOPPERS-304Shop-Weekday-01,20170125,2
SHOPPERS-304Shop-Weekday-01,20170127,2
SHOPPERS-304Shop-Weekday-01,20170130,2
SHOPPERS-304Shop-Weekday-01,20170131,2
SHOPPERS-304Shop-Weekday-01,20170201,2
SHOPPERS-304Shop-Weekday-01,20170203,2
SHOPPERS-304Shop-Weekday-01,20170206,2
SHOPPERS-304Shop-Weekday-01,20170207,2
SHOPPERS-304Shop-Weekday-01,20170208,2
SHOPPERS-304Shop-Weekday-01,20170210,2
