stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
AA010,8767,"SUSSEX / RIDEAU FALLS",,45.43987,-75.695842,,,0
AA020,6859,"SUSSEX / RIDEAU FALLS",,45.439572,-75.695693,,,0
AA030,7001,"SUSSEX / ALEXANDER",,45.442859,-75.693562,,,0
AA035,8762,"ALEXANDER / THOMAS",,45.442797,-75.692323,,,0
AA040,7000,"JOHN / SUSSEX",,45.442553,-75.693503,,,0
AA050,7002,"ALEXANDER / CHARLES",,45.44253,-75.691509,,,0
AA060,8766,"CRICHTON / CHARLES",,45.442222,-75.691219,,,0
AA070,7003,"CRICHTON / UNION",,45.441673,-75.689962,,,0
AA080,7005,"CRICHTON / UNION",,45.441706,-75.689527,,,0
AA090,7004,"CRICHTON / VICTORIA",,45.441139,-75.688269,,,0
AA100,7006,"CRICHTON / VICTORIA",,45.441164,-75.687936,,,0
AA110,7007,"CRICHTON / KEEFER",,45.440732,-75.686613,,,0
AA120,8763,"CRICHTON / KEEFER",,45.440601,-75.686426,,,0
AA130,7008,"CRICHTON / DUFFERIN",,45.439581,-75.682987,,,0
AA140,8765,"CRICHTON / THE MEWS",,45.439641,-75.682641,,,0
AA150,7010,"CRICHTON / ELECTRIC",,45.439082,-75.679952,,,0
AA160,7009,"CRICHTON / ELECTRIC",,45.438884,-75.679878,,,0
AA170,8764,"CRICHTON / BEECHWOOD",,45.438603,-75.678425,,,0
AA180,7011,"CRICHTON / BEECHWOOD",,45.438757,-75.678512,,,0
AA190,8792,"BEECHWOOD / CRICHTON",,45.438651,-75.677619,,,0
AA210,8922,"BEECHWOOD / MACKAY",,45.439555,-75.676852,,,0
AA221,8794,"BEECHWOOD / LOYER",,45.440025,-75.675742,,,0
AA231,8795,"BEECHWOOD / MARIER",,45.441155,-75.673621,,,0
AA240,8790,"BEECHWOOD / ST CHARLES",,45.441145,-75.674055,,,0
AA251,1649,"BEECHWOOD / MARIER",,45.442188,-75.671355,,,0
AA260,7015,"BEECHWOOD / ACACIA",,45.442189,-75.67156,,,0
AA270,7013,"BEECHWOOD / JOLLIET",,45.444127,-75.670291,,,0
AA280,8797,"BEECHWOOD / CORONA",,45.444062,-75.670535,,,0
AA300,7016,"BEECHWOOD / JULIANA",,45.445854,-75.669499,,,0
AA310,8796,"BEECHWOOD / JULIANA",,45.445888,-75.669179,,,0
AA320,7017,"HEMLOCK / LANSDOWNE",,45.447629,-75.66845,,,0
AA325,7018,"HEMLOCK / WHITEMARL",,45.448833,-75.665799,,,0
AA330,7019,"HEMLOCK / LANSDOWNE",,45.44759,-75.66808,,,0
AA335,7020,"HEMLOCK / WHITEMARL",,45.448764,-75.665033,,,0
AA340,8788,"SPRINGFIELD / BEECHWOOD",,45.440073,-75.676295,,,0
AA350,7021,"SPRINGFIELD / PUTMAN",,45.44184,-75.676806,,,0
AA360,7022,"SPRINGFIELD / RIDEAU",,45.44367,-75.677188,,,0
AA370,7023,"SPRINGFIELD / LINDENLEA",,45.444904,-75.677439,,,0
AA380,8789,"MAPLE LANE / SPRINGFIELD",,45.446318,-75.677597,,,0
AA390,7024,"MAPLE LANE / ELMDALE",,45.446541,-75.674884,,,0
AA400,7025,"MAPLE LANE / ACACIA",,45.4467,-75.67313,,,0
AA410,7026,"ACACIA / RIDEAU",,45.444562,-75.672433,,,0
AB060,1650,"MARIER / BEECHWOOD",,45.441964,-75.671499,,,0
AB065,7263,"MARIER / BARRETTE",,45.441906,-75.670963,,,0
AB070,7029,"MARIER / GENEST",,45.44119,-75.669056,,,0
AB075,7264,"MARIER / GENEST",,45.441046,-75.669084,,,0
AB100,8752,"DES PÈRES BLANCS / MARIER",,45.440041,-75.665711,,,0
AB110,8995,"DES PÈRES BLANCS / MARIER",,45.440164,-75.665364,,,0
AB120,7034,"DES PÈRES BLANCS / MARQUETTE",,45.440851,-75.664575,,,0
AB130,7035,"DES PÈRES BLANCS / LONGPRÉ",,45.440779,-75.664524,,,0
AB185,839,"DES PÈRES BLANCS / LEBRUN",,45.442703,-75.661799,,,0
AB195,1890,"DES PÈRES BLANCS / LEBRUN",,45.442322,-75.662584,,,0
AB200,7040,"300 DES PÈRES BLANCS",,45.44432,-75.660177,,,0
AB290,1545,"GRANVILLE / MONTRÉAL",,45.43819,-75.656242,,,0
AB300,8749,"ALFRED / MONTRÉAL",,45.438852,-75.654583,,,0
AB310,7046,"MONTFORT / ALFRED",,45.439439,-75.656057,,,0
AB320,1544,"MONTFORT / GRANVILLE",,45.439111,-75.656688,,,0
AB330,8745,"MONTFORT / STE ANNE",,45.439109,-75.658912,,,0
AB340,8747,"MONTFORT / STE ANNE",,45.438931,-75.659222,,,0
AB350,7049,"MONTFORT / BRADLEY",,45.438836,-75.660974,,,0
AB360,7047,"MONTFORT / PARK",,45.438902,-75.661395,,,0
AB370,7048,"MONTFORT / MARIER",,45.438797,-75.663007,,,0
AB380,7050,"MARIER / MONTFORT",,45.438872,-75.663402,,,0
AB450,8944,"VANIER / PATHWAY",,45.437726,-75.674028,,,0
AB455,1398,"VANIER / PATHWAY",,45.437472,-75.673853,,,0
AB456,6579,"VANIER / MEILLEUR",,45.437307,-75.671521,,,0
AB458,6580,"VANIER / MEILLEUR",,45.437146,-75.671591,,,0
AB460,7051,"VANIER / DESCHAMPS",,45.436554,-75.66905,,,0
AB470,8775,"VANIER / DESCHAMPS",,45.436075,-75.668594,,,0
AB480,7052,"VANIER / MONTRÉAL",,45.435079,-75.666424,,,0
AB490,8781,"MONTRÉAL / NORTH RIVER",,45.433007,-75.669828,,,0
AB500,1575,"MONTRÉAL / MONTGOMERY",,45.433223,-75.668662,,,0
AB510,8783,"MONTRÉAL / VANIER",,45.434216,-75.66659,,,0
AB520,7053,"MONTRÉAL / VANIER",,45.434213,-75.666155,,,0
AB530,8947,"MONTRÉAL / EMOND",,45.435215,-75.664146,,,0
AB540,7054,"MONTRÉAL / CYR",,45.435043,-75.66397,,,0
AB550,8784,"MONTRÉAL / OLMSTEAD",,45.435904,-75.662398,,,0
AB560,8758,"MONTRÉAL / OLMSTEAD",,45.435591,-75.662582,,,0
AB570,7055,"MONTRÉAL / MARIER",,45.436505,-75.660843,,,0
AB580,7057,"MONTRÉAL / BEGIN",,45.436306,-75.66073,,,0
