route_id,service_id,trip_id,trip_headsign,direction_id,block_id
114-256,JAN17B-JANDA17-Weekday-15,44555433-JAN17B-JANDA17-Weekday-15,"Greenboro",1,5252555
1-256,JAN17B-JANDA17-Weekday-15,44555434-JAN17B-JANDA17-Weekday-15,"Ottawa-Rockcliffe",1,5252180
1-256,JAN17B-JANDA17-Weekday-15,44555435-JAN17B-JANDA17-Weekday-15,"South Keys",0,5252180
290-256,JAN17B-JANDA17-Weekday-15,44555436-JAN17B-JANDA17-Weekday-15,"Hurdman",1,5252052
9-256,JAN17B-JANDA17-Weekday-15,44555437-JAN17B-JANDA17-Weekday-15,"Rideau",0,5252183
7-256,JAN17B-JANDA17-Weekday-15,44555438-JAN17B-JANDA17-Weekday-15,"Carleton",0,5252398
7-256,JAN17B-JANDA17-Weekday-15,44555439-JAN17B-JANDA17-Weekday-15,"St-Laurent",1,5252398
7-256,JAN17B-JANDA17-Weekday-15,44555440-JAN17B-JANDA17-Weekday-15,"Carleton",0,5252398
7-256,JAN17B-JANDA17-Weekday-15,44555441-JAN17B-JANDA17-Weekday-15,"St-Laurent",1,5252398
7-256,JAN17B-JANDA17-Weekday-15,44555442-JAN17B-JANDA17-Weekday-15,"Carleton",0,5252398
7-256,JAN17B-JANDA17-Weekday-15,44555443-JAN17B-JANDA17-Weekday-15,"St-Laurent",1,5252398
18-256,JAN17B-JANDA17-Weekday-15,44555444-JAN17B-JANDA17-Weekday-15,"Rideau",1,5252992
18-256,JAN17B-JANDA17-Weekday-15,44555445-JAN17B-JANDA17-Weekday-15,"St-Laurent",0,5252992
137-256,JAN17B-JANDA17-Weekday-15,44555447-JAN17B-JANDA17-Weekday-15,"Queenswood Hghts",0,5252454
137-256,JAN17B-JANDA17-Weekday-15,44555448-JAN17B-JANDA17-Weekday-15,"Queenswood Hghts",0,5252453
122-256,JAN17B-JANDA17-Weekday-15,44555449-JAN17B-JANDA17-Weekday-15,"Millennium",0,5252004
122-256,JAN17B-JANDA17-Weekday-15,44555450-JAN17B-JANDA17-Weekday-15,"Place d'Orléans",1,5252004
135-256,JAN17B-JANDA17-Weekday-15,44555451-JAN17B-JANDA17-Weekday-15,"Esprit",0,5252499
135-256,JAN17B-JANDA17-Weekday-15,44555452-JAN17B-JANDA17-Weekday-15,"Place d'Orléans",1,5252499
131-256,JAN17B-JANDA17-Weekday-15,44555453-JAN17B-JANDA17-Weekday-15,"Convent Glen",0,5252499
122-256,JAN17B-JANDA17-Weekday-15,44555454-JAN17B-JANDA17-Weekday-15,"Millennium",0,5252499
122-256,JAN17B-JANDA17-Weekday-15,44555455-JAN17B-JANDA17-Weekday-15,"Place d'Orléans",1,5252499
135-256,JAN17B-JANDA17-Weekday-15,44555456-JAN17B-JANDA17-Weekday-15,"Esprit",0,5252499
135-256,JAN17B-JANDA17-Weekday-15,44555457-JAN17B-JANDA17-Weekday-15,"Place d'Orléans",1,5252499
137-256,JAN17B-JANDA17-Weekday-15,44555458-JAN17B-JANDA17-Weekday-15,"Queenswood Hghts",0,5252405
33-256,JAN17B-JANDA17-Weekday-15,44555459-JAN17B-JANDA17-Weekday-15,"Portobello",1,5252405
132-256,JAN17B-JANDA17-Weekday-15,44555460-JAN17B-JANDA17-Weekday-15,"Place d'Orléans",0,5252405
131-256,JAN17B-JANDA17-Weekday-15,44555461-JAN17B-JANDA17-Weekday-15,"Convent Glen",0,5252994
136-256,JAN17B-JANDA17-Weekday-15,44555462-JAN17B-JANDA17-Weekday-15,"Tenth Line",0,5252222
136-256,JAN17B-JANDA17-Weekday-15,44555463-JAN17B-JANDA17-Weekday-15,"Place d'Orléans",1,5252222
131-256,JAN17B-JANDA17-Weekday-15,44555464-JAN17B-JANDA17-Weekday-15,"Chapel Hill",1,5252453
131-256,JAN17B-JANDA17-Weekday-15,44555465-JAN17B-JANDA17-Weekday-15,"Chapel Hill",1,5252453
131-256,JAN17B-JANDA17-Weekday-15,44555466-JAN17B-JANDA17-Weekday-15,"Chapel Hill",1,5252453
131-256,JAN17B-JANDA17-Weekday-15,44555467-JAN17B-JANDA17-Weekday-15,"Chapel Hill",1,5252453
131-256,JAN17B-JANDA17-Weekday-15,44555468-JAN17B-JANDA17-Weekday-15,"Chapel Hill",1,5252453
131-256,JAN17B-JANDA17-Weekday-15,44555469-JAN17B-JANDA17-Weekday-15,"Chapel Hill",1,5252453
131-256,JAN17B-JANDA17-Weekday-15,44555473-JAN17B-JANDA17-Weekday-15,"Convent Glen",0,5252453
